id;ean;erds_id;process_id;subject;state;sender_id;sender_label;send_at;decision_at;expire_at
1;Rustic bleeding-edge;green 1080p Metal;USB;CSS Granite;NEW;Rubber invoice Directives;invoice Credit Card Account;2020-04-14T15:43:38;2020-04-14T22:11:16;2020-04-14T10:27:09
2;Sports calculate;partnerships Forges Specialist;Officer solutions compressing;Gloves;NEW;Corporate;SMTP Investment Account Health;2020-04-14T11:20:03;2020-04-15T00:03:02;2020-04-14T14:28:26
3;deposit Borders;metrics client-server;multi-byte Usability;Jewelery;REJECTED;Chair Gloves Associate;system;2020-04-14T13:24:16;2020-04-14T23:45:51;2020-04-14T12:34:51
4;mobile Kenya back up;withdrawal Pataca Checking Account;Libyan Arab Jamahiriya bandwidth;Shirt Metal Lithuanian Litas;ACCEPTED;Fantastic European Monetary Unit (E.M.U.-6);scale SMTP Home;2020-04-15T04:58:40;2020-04-14T19:15:29;2020-04-14T13:58:37
5;Credit Card Account Arizona bottom-line;Rhode Island;Shoes ivory;GB Analyst;ACCEPTED;Open-source networks;multi-byte;2020-04-14T16:29:05;2020-04-15T07:23:48;2020-04-14T21:55:34
6;groupware;Clothing;matrix;Administrator;NEW;Configurable Directives payment;visualize Salad real-time;2020-04-15T02:43:34;2020-04-14T21:00:21;2020-04-14T15:28:02
7;Specialist;New Zealand Dollar Investment Account;Unbranded Cotton Ball Dominican Peso;sensor;ACCEPTED;Australian Dollar withdrawal;mindshare Music;2020-04-14T11:57:15;2020-04-14T19:12:42;2020-04-15T04:42:17
8;Money Market Account;Object-based International invoice;solid state monitor evolve;programming infomediaries;REJECTED;Tasty Cotton Tuna real-time;Officer;2020-04-14T14:20:54;2020-04-14T08:12:10;2020-04-14T18:34:46
9;Berkshire;Practical;Borders Architect scale;Licensed Steel Soap Ridges;NEW;connect architectures Ergonomic Wooden Computer;Profit-focused;2020-04-14T20:26:26;2020-04-14T12:51:53;2020-04-14T23:41:04
10;Refined Metal Gloves Greenland;white grey;monitoring;Chips Mountain;REJECTED;visualize Program Ferry;Personal Loan Account;2020-04-15T07:39:01;2020-04-14T17:06:49;2020-04-14T20:18:45
