id;ean;erds_id;process_id;date;type;location
1;Intranet Small Rubber Cheese;Accountability Singapore Dollar;invoice;2020-04-14T22:35:47;C5;Refined
2;COM SMTP;transmitter Indiana;incentivize;2020-04-14T22:46:03;B3;function Hills Garden
3;Internal;white HTTP Quality;Tanzanian Shilling Naira Money Market Account;2020-04-14T09:22:03;B3;best-of-breed Money Market Account e-commerce
4;Gorgeous Granite Mouse;Keyboard Generic Frozen Soap EXE;Cotton;2020-04-14T10:43:45;B3;Radial channels
5;productize Investment Account cyan;maximize Kuwaiti Dinar Enterprise-wide;overriding zero administration;2020-04-15T00:42:03;E2;Small
6;Small Pines feed;Credit Card Account;panel Mill;2020-04-14T16:50:40;C3;Electronics Beauty
7;withdrawal Seychelles;generate Dale;frictionless Cross-group;2020-04-14T13:21:13;E2;Checking Account solid state Integration
8;Forward coherent Corporate;global groupware;Internal;2020-04-14T11:29:18;D2;Bedfordshire Facilitator
9;compressing Common feed;cutting-edge Investor Soft;bandwidth;2020-04-14T08:46:44;C3;communities Argentine Peso
10;Fantastic Reunion;Borders Gibraltar Pound program;Indian Rupee Ngultrum Advanced coherent;2020-04-14T11:13:08;C4;Paradigm
